megnevezes,irsz
Szentendre,2000
Pilisszentlászló,2009
Budakalász,2011
Pomáz,2013
Csobánka,2014
Szigetmonostor,2015
Leányfalu,2016
Pócsmegyer,2017
Tahitótfalu - Tótfalu,2021
Tahitótfalu - Tahi,2022
Dunabogdány,2023
Kisoroszi,2024
Visegrád,2025
Visegrád - Gizellatelep,2026
Dömös,2027
Pilismarót,2028
Érd,2030
Sóskút,2038
Pusztazámor,2039
Budaörs - ,2040
Törökbálint,2045
Diósd,2049
Biatorbágy,2051
Herceghalom,2053
Bicske - ,2060
Óbarok,2063
Csabdi,2064
Mány,2065
Szár,2066
Újbarok,2066
Szárliget,2067
Páty,2071
Zsámbék,2072
Tök,2073
Perbál,2074
Pilisjászfalu,2080
Piliscsaba,2081
Solymár,2083
Pilisszentiván,2084
Pilisvörösvár,2085
Tinnye,2086
Telki,2089
Remeteszõlõs,2090
Etyek,2091
Budakeszi,2092
Budajenõ,2093
Nagykovácsi,2094
Pilisszántó,2095
Üröm,2096
Pilisborosjenõ,2097
Pilisszentkereszt,2098
Pilisszentkereszt - Dobogókõ,2099
Gödöllõ - ,2100
Szada,2111
Veresegyház,2112
Erdõkertes,2113
Valkó,2114
Vácszentlászló,2115
Zsámbok,2116
Isaszeg,2117
Dány,2118
Pécel,2119
Dunakeszi,2120
Göd - Alsógöd,2131
Göd - Felsõgöd,2132
Szõdliget,2133
Szõd,2134
Csörög,2135
Csömör,2141
Nagytarcsa,2142
Kistarcsa,2143
Kerepes,2144
Kerepes - Szilasliget,2145
Mogyoród,2146
Fót,2151
Csomád,2161
Õrbottyán,2162
Vácrátót,2163
Váchartyán,2164
Kisnémedi,2165
Püspökszilágy,2166
Vácduka,2167
Aszód,2170
Kartal,2173
Verseg,2174
Kálló,2175
Erdõkürt,2176
Erdõtarcsa,2177
Iklad,2181
Domony,2182
Galgamácsa,2183
Vácegres,2184
Váckisújfalu,2185
Bag,2191
Hévízgyörk,2192
Galgahévíz,2193
Tura,2194
Monor,2200
Péteri,2209
Vasad,2211
Csévharaszt,2212
Monorierdõ,2213
Pánd,2214
Káva,2215
Bénye,2216
Gomba,2217
Vecsés,2220
Üllõ,2225
Gyömrõ,2230
Ecser,2233
Maglód,2234
Mende,2235
Sülysáp,2241
Kóka,2243
Úri,2244
Tápiószecsõ,2251
Tóalmás,2252
Tápióság,2253
Szentmártonkáta,2254
Szentlõrinckáta,2255
Ráckeve,2300
Lórév,2309
Szigetszentmiklós - ,2310
Halásztelek,2314
Szigethalom,2315
Tököl,2316
Szigetcsép,2317
Szigetszentmárton,2318
Szigetújfalu,2319
Szigetbecse,2321
Makád,2322
Dunaharaszti,2330
